Major Discipline,Category,Subcategory,Skill,Class
Housekeeping & Home Services,Housekeeping,General Inside Home Cleaning,Babysitting,B
Housekeeping & Home Services,Housekeeping,General Inside Home Cleaning,Pet Friendly,B
Housekeeping & Home Services,Housekeeping,General Inside Home Cleaning,Elderly Care,B
Housekeeping & Home Services,Housekeeping,General Inside Home Cleaning,Cooking,B
Housekeeping & Home Services,Private Driver,Handyman / Basic Home Repairs And Mounting,Private Driver / Out Door Hous Maintenance,B
Housekeeping & Home Services,Private Driver,Handyman / Basic Home Repairs And Mounting,Pool Service / Water Treatment,B
Housekeeping & Home Services,Private Driver,Handyman / Basic Home Repairs And Mounting,Filter Checks,B
Housekeeping & Home Services,Private Driver,Handyman / Basic Home Repairs And Mounting,Gardening / Plant Care,B
Housekeeping & Home Services,Private Driver,Handyman / Basic Home Repairs And Mounting,Trimming,B
Housekeeping & Home Services,Private Driver,Handyman / Basic Home Repairs And Mounting,Watering,B
Housekeeping & Home Services,Private Driver,Handyman / Basic Home Repairs And Mounting,Pest Control,B
Housekeeping & Home Services,Private Driver,Handyman / Basic Home Repairs And Mounting,Senior Helper / Support,B
Housekeeping & Home Services,Private Driver,Handyman / Basic Home Repairs And Mounting,Companionship,B
Housekeeping & Home Services,Private Driver,Handyman / Basic Home Repairs And Mounting,Light Tasks,B
Housekeeping & Home Services,Private Driver,Handyman / Basic Home Repairs And Mounting,Home Security (hares),B
Education,Tutoring,General Academics Support,General Academics Support -camputing,C
Education,Tutoring,General Academics Support,General Academics Support -math,C
Education,Tutoring,General Academics Support,General Academics Support,C
Education,Tutoring,General Academics Support,Langouges,C
Education,Tutoring,General Academics Support,General Academics Support - Science Support,C
Education,Tutoring,General Academics Support,Art - Crafts Instructor,C
Education,Tutoring,General Academics Support,Sports,C
Education,Tutoring,General Academics Support,Music,C
Education,Tutoring,General Academics Support,Writing,C
Education,Early Child Hood Education,Infant & Toddler Care,Preschool Support,C
Education,Early Child Hood Education,Infant & Toddler Care,Home-based Child Development,C
Life Style & Personal Care,Personal Support Services,Personal Presentation & Preparation Support,Family & Household Activity Support,D
Life Style & Personal Care,Women Beauty,Makeup,Grooming Services,D
Life Style & Personal Care,Women Beauty,Makeup,Spa & Wellness,D
Life Style & Personal Care,Women Beauty,Makeup,Skin & Body Care Support,D
Life Style & Personal Care,Men Beauty,"Shave, Beard Shaping, Hair Trim",Skin & Body Care Support,D
Life Style & Personal Care,Men Beauty,"Shave, Beard Shaping, Hair Trim",Spa & Wellness,D
Life Style & Personal Care,Handmade & Craft Production,Handmade & Craft Production,Boutique Fshion & Design,D
Life Style & Personal Care,Handmade & Craft Production,Handmade & Craft Production,Content Writer,D
Life Style & Personal Care,Handmade & Craft Production,Handmade & Craft Production,Hobby & Passiob,D
Life Style & Personal Care,Health & Welness,Relaxations Massage,Sport & Fitness Massage,D
Life Style & Personal Care,Health & Welness,Relaxations Massage,Nutrition Coaching,D
Life Style & Personal Care,Health & Welness,Relaxations Massage,Life Coaching,D
Life Style & Personal Care,Health & Welness,Relaxations Massage,Hamam,D
Life Style & Personal Care,Events And Experience,Event Planning,Wedding Planning,D
Life Style & Personal Care,Events And Experience,Event Planning,Travel & Hosting,D
Life Style & Personal Care,Events And Experience,Event Planning,Floral Event Stylish,D
Life Style & Personal Care,Events And Experience,Event Planning,Event Decoration,D
Life Style & Personal Care,Events And Experience,Event Planning,Audio - Visual Technician,D
Life Style & Personal Care,Events And Experience,Event Planning,Event Logistics Support & Set Up,D
Life Style & Personal Care,Sport Training & Coaching,Sport Coach / Individual Or Team Sports Training,Gym Floor Fitness Trainer / Personal Exercise Training,D
Life Style & Personal Care,Sport Training & Coaching,Sport Coach / Individual Or Team Sports Training,Basketball Trainer,D
Life Style & Personal Care,Sport Training & Coaching,Sport Coach / Individual Or Team Sports Training,Volleyball Trianer,D
Life Style & Personal Care,Sport Training & Coaching,Sport Coach / Individual Or Team Sports Training,Tenis & Padel Trainer,D
Life Style & Personal Care,Sport Training & Coaching,Sport Coach / Individual Or Team Sports Training,Swimming Trainer,D
Life Style & Personal Care,Sport Training & Coaching,Sport Coach / Individual Or Team Sports Training,Outdoor Sports Trainer,D
Life Style & Personal Care,Sport Training & Coaching,Sport Coach / Individual Or Team Sports Training,Water Outdoor Sports,D
Life Style & Personal Care,Sport Training & Coaching,Sport Coach / Individual Or Team Sports Training,Sport Gymeniest Therapy,D
Life Style & Personal Care,Sport Training & Coaching,Sport Coach / Individual Or Team Sports Training,Sport Gymeniest Yoga,D
Life Style & Personal Care,Sport Training & Coaching,Sport Coach / Individual Or Team Sports Training,Nutrition & Supliment,D
Retail,Tailer,"Clothing Tailor / Stitching, Alterations",Thob Tailer,C
Retail,Tailer,"Clothing Tailor / Stitching, Alterations",Cloths Trailer,C
Retail,Tailer,"Clothing Tailor / Stitching, Alterations",Cloths Designer,C
Retail,Fashion Retail,Visual Merchandiser,Clothing Merchandiser,C
Retail,Fashion Retail,Visual Merchandiser,Stock & Floor Merchandiser,C
Retail,Animal & Pet Shops,Pet Store Helper,Feeding,C
Retail,Animal & Pet Shops,Pet Store Helper,Cleaning,C
Retail,Animal & Pet Shops,Pet Store Helper,Customer Support,C
Retail,Animal & Pet Shops,Pet Store Helper,Veterinarian / Medical Animal Care,C
Retail,Animal & Pet Shops,Pet Store Helper,Pet Groomer / Bathing,C
Retail,Animal & Pet Shops,Pet Store Helper,Haircut,C
Retail,Animal & Pet Shops,Pet Store Helper,Nail Trim,C
Retail,Car Care,Car Cleaning,Interior And Exterior Cleaning,C
Retail,Car Care,Car Cleaning,Glass Tinting,C
Retail,Car Care,Car Cleaning,Car Polishing,C
Retail,Car Care,Car Cleaning,Waxing,C
Retail,Car Care,Car Cleaning,Buffing,C
Retail,Car Care,Car Cleaning,Window Film Installation,C
Retail,Super Market & Mini Market,,,C
Retail,Grocery & Food Retail,Retail Operations,Store Helper,C
Retail,Grocery & Food Retail,Retail Operations,Cashier Helper / Payment Support,C
Retail,Grocery & Food Retail,Retail Operations,Customer Service,C
Retail,Grocery & Food Retail,Retail Operations,Retail Assistant / Stocking,C
Retail,Grocery & Food Retail,Retail Operations,Shelf Arrangement,C
Retail,Grocery & Food Retail,Retail Operations,Customer Services Representitve,C
Retail,Grocery & Food Retail,Retail Operations,Store Operations,C
Retail,Grocery & Food Retail,Retail Operations,Discount Value Creator,C
